DateTime,Date,Hour,Day of the Week,Season,Daytime,Consumption (kW)
03/03/2021 08:30,03/03/2021,08:30:00,2,1,1,0.156
03/03/2021 08:45,03/03/2021,08:45:00,2,1,1,0.132
03/03/2021 09:00,03/03/2021,09:00:00,2,1,1,0.084
03/03/2021 09:15,03/03/2021,09:15:00,2,1,1,0.144
03/03/2021 09:30,03/03/2021,09:30:00,2,1,1,0.472
03/03/2021 09:45,03/03/2021,09:45:00,2,1,1,0.596
03/03/2021 10:00,03/03/2021,10:00:00,2,1,1,0.356
03/03/2021 10:15,03/03/2021,10:15:00,2,1,1,0.344
03/03/2021 10:30,03/03/2021,10:30:00,2,1,1,0.312
03/03/2021 10:45,03/03/2021,10:45:00,2,1,1,0.2
03/03/2021 11:00,03/03/2021,11:00:00,2,1,1,0.196
03/03/2021 11:15,03/03/2021,11:15:00,2,1,1,0.228
03/03/2021 11:30,03/03/2021,11:30:00,2,1,1,0.252
03/03/2021 11:45,03/03/2021,11:45:00,2,1,1,0.212
03/03/2021 12:00,03/03/2021,12:00:00,2,1,1,0.256
03/03/2021 12:15,03/03/2021,12:15:00,2,1,1,0.336
03/03/2021 12:30,03/03/2021,12:30:00,2,1,1,0.392
03/03/2021 12:45,03/03/2021,12:45:00,2,1,1,0.28
03/03/2021 13:00,03/03/2021,13:00:00,2,1,1,0.288
03/03/2021 13:15,03/03/2021,13:15:00,2,1,1,0.292
03/03/2021 13:30,03/03/2021,13:30:00,2,1,1,0.24
03/03/2021 13:45,03/03/2021,13:45:00,2,1,1,0.232
03/03/2021 14:00,03/03/2021,14:00:00,2,1,1,0.304
03/03/2021 14:15,03/03/2021,14:15:00,2,1,1,0.348
03/03/2021 14:30,03/03/2021,14:30:00,2,1,1,0.304
03/03/2021 14:45,03/03/2021,14:45:00,2,1,1,0.252
03/03/2021 15:00,03/03/2021,15:00:00,2,1,1,0.272
03/03/2021 15:15,03/03/2021,15:15:00,2,1,1,0.328
03/03/2021 15:30,03/03/2021,15:30:00,2,1,1,0.272
03/03/2021 15:45,03/03/2021,15:45:00,2,1,1,0.264
03/03/2021 16:00,03/03/2021,16:00:00,2,1,1,0.352
03/03/2021 16:15,03/03/2021,16:15:00,2,1,1,0.36
03/03/2021 16:30,03/03/2021,16:30:00,2,1,1,0.324
03/03/2021 16:45,03/03/2021,16:45:00,2,1,1,0.352
03/03/2021 17:00,03/03/2021,17:00:00,2,1,1,0.464
03/03/2021 17:15,03/03/2021,17:15:00,2,1,1,0.452
03/03/2021 17:30,03/03/2021,17:30:00,2,1,1,0.46
03/03/2021 17:45,03/03/2021,17:45:00,2,1,1,0.476
03/03/2021 18:00,03/03/2021,18:00:00,2,1,1,0.292
03/03/2021 18:15,03/03/2021,18:15:00,2,1,1,0.264
03/03/2021 18:30,03/03/2021,18:30:00,2,1,1,0.324
03/03/2021 18:45,03/03/2021,18:45:00,2,1,0,0.336
03/03/2021 19:00,03/03/2021,19:00:00,2,1,0,0.34
03/03/2021 19:15,03/03/2021,19:15:00,2,1,0,0.24
03/03/2021 19:30,03/03/2021,19:30:00,2,1,0,0.908
03/03/2021 19:45,03/03/2021,19:45:00,2,1,0,0.388
03/03/2021 20:00,03/03/2021,20:00:00,2,1,0,1.012
03/03/2021 20:15,03/03/2021,20:15:00,2,1,0,1.8
03/03/2021 20:30,03/03/2021,20:30:00,2,1,0,1.004
03/03/2021 20:45,03/03/2021,20:45:00,2,1,0,0.48
03/03/2021 21:00,03/03/2021,21:00:00,2,1,0,0.44
03/03/2021 21:15,03/03/2021,21:15:00,2,1,0,0.424
03/03/2021 21:30,03/03/2021,21:30:00,2,1,0,0.452
03/03/2021 21:45,03/03/2021,21:45:00,2,1,0,0.4
03/03/2021 22:00,03/03/2021,22:00:00,2,1,0,0.248
03/03/2021 22:15,03/03/2021,22:15:00,2,1,0,0.236
03/03/2021 22:30,03/03/2021,22:30:00,2,1,0,0.224
03/03/2021 22:45,03/03/2021,22:45:00,2,1,0,0.136
